code,Plan_ClusterName
2338155,NULL
2338778,NULL
2338505,NULL
2337515,NULL
2338202,NULL
2338375,NULL
2337414,NULL
2338283,NULL
2338621,NULL
2338838,NULL
2337774,NULL
2337710,NULL
2338156,NULL
2338757,NULL
2337435,NULL
2338163,NULL
2337334,NULL
2337440,NULL
2337420,NULL
2338077,NULL
2337880,NULL
2337908,NULL
2338056,NULL
2338820,NULL
2338463,NULL
2337495,NULL
2337596,NULL
2338036,NULL
2338096,NULL
2338436,NULL
2337356,NULL
2338369,NULL
2338074,NULL
2337955,NULL
2338667,NULL
2338097,NULL
2338040,NULL
2337861,NULL
2338512,NULL
2338803,NULL
2338619,NULL
2337565,NULL
2338747,NULL
2338858,NULL
2337717,NULL
2337769,NULL
2337735,NULL
2337729,NULL
2337348,NULL
2338448,NULL
2337755,NULL
2338333,NULL
2337995,NULL
2338305,NULL
2341244,NULL
2341243,NULL
2337765,NULL
2338556,NULL
2338447,NULL
2338348,NULL
2337483,NULL
2338139,NULL
2328975,NULL
2338397,NULL
2338562,NULL
2337369,NULL
2338209,NULL
2337708,NULL
2338497,NULL
2337733,NULL
2338466,NULL
2338194,NULL
2337854,NULL
2338300,NULL
2338173,NULL
2337993,NULL
2337835,NULL
2337320,NULL
2337725,NULL
2337992,NULL
2338140,NULL
2337701,NULL
2337621,NULL
2338264,NULL
2338553,NULL
2337335,NULL
2338009,NULL
2337680,NULL
2338640,NULL
2338765,NULL
2337541,NULL
2337426,NULL
2195400,BLAPrdApp06-02
2195356,CO2PrdApp01-01
2206589,AMS06PrdApp14-01
2000622,BN3PrdStr01
708993,BJBPrdStr01
708992,SHAPrdStr01
2325770,NULL
2325771,NULL
2321113,NULL
2321148,NULL
845624,BL2PrdStr01
2338449,NULL
2338663,NULL
2337658,NULL
2337695,NULL
2338317,NULL
2338059,NULL
2338515,NULL
2337974,NULL
2337753,NULL
2337554,NULL
2338003,NULL
2337645,NULL
2338269,NULL
2337872,NULL
2337648,NULL
2337498,NULL
2337573,NULL
2337439,NULL
2338367,NULL
2207853,NULL
2321155,NULL
2292826,NULL
2318006,NULL
2208352,OSA20PrdStr05
2195709,YT1PrdStr04
2267084,PAR20PrdStr03
2300922,PAR22PrdStr04
2292314,SYD23PrdStr02
2300253,AMS06PrdStr07
2307429,NULL
2207930,DUB07PrdStr02
2292838,SYD23PrdStr01
2208126,TYO22PrdStr01
2266944,DM5PrdStr17
2263261,DB3PrdStr14
2292263,NULL
2263685,BZ6PrdStr18
2300376,PN1PrdStr05
2301370,MA1PrdStr07
2300848,NULL
2291835,DM5PrdStr18
2321493,NULL
2321411,NULL
2206777,AMS20PrdApp13-01
2321652,NULL
2206650,AMS20PrdApp14-01
2329188,NULL
2194756,LN1PrdApp03-01
2194753,CQ2PrdApp05-02
2194122,CQ2PrdApp05-01
2194398,CY4PrdApp04-04
2147215,DZ5PrdApp09-03
2195642,CY4PrdApp04-02
2195294,CY4PrdApp11-01
2195247,BL7PrdApp23-01
2206744,YT1PrdApp17-01
2338134,NULL
2337677,NULL
2337873,NULL
2338815,NULL
2338817,NULL
2338821,NULL
2338762,NULL
2338739,NULL
2337507,NULL
2337445,NULL
2337404,NULL
2338340,NULL
2338365,NULL
2338078,NULL
2338791,NULL
2338785,NULL
2338737,NULL
2338742,NULL
2338513,NULL
2338502,NULL
2338483,NULL
2338634,NULL
2338620,NULL
2337566,NULL
2337478,NULL
2337462,NULL
2337305,NULL
2337850,NULL
2337841,NULL
2205324,HKG20PrdApp07-01
2195377,BL3PrdApp02-02
2193923,BL3PrdApp09-02
2300705,GRN01PrdApp02-01
2303031,NULL
2194127,DM1PrdApp01-02
925748,AM3PrdDDC07
774291,BY3PrdDDC01
925749,DB4PrdDDC06
2195469,BY1PrdApp04
2194022,BL2PrdApp03
2206029,BL6PrdStp04
2267007,BLAPrdStp01
2337714,NULL
2337606,NULL
2337649,NULL
2337634,NULL
2338297,NULL
2338275,NULL
2338200,NULL
2338203,NULL
2338002,NULL
2338034,NULL
2338044,NULL
2338116,NULL
2337925,NULL
2337919,NULL
2338790,NULL
2338793,NULL
2337454,NULL
2337310,NULL
2337509,NULL
2337537,NULL
2337329,NULL
2337359,NULL
2338566,NULL
2338567,NULL
2338609,NULL
2338583,NULL
2338098,NULL
2338651,NULL
2338108,NULL
2337600,NULL
2337626,NULL
2337652,NULL
2337693,NULL
2337449,NULL
2337736,NULL
2338416,NULL
2337956,NULL
2338343,NULL
2338346,NULL
2338422,NULL
2337975,NULL
2338060,NULL
2338005,NULL
2338007,NULL
2338086,NULL
2338095,NULL
2338133,NULL
2337477,NULL
2337524,NULL
2337574,NULL
2337545,NULL
2337397,NULL
2337388,NULL
2337382,NULL
2337302,NULL
2337307,NULL
2337780,NULL
2337847,NULL
2337837,NULL
2337684,NULL
2337691,NULL
2337716,NULL
2338507,NULL
2338528,NULL
2338428,NULL
2338605,NULL
2338825,NULL
2338792,NULL
2338738,NULL
2338743,NULL
2338629,NULL
2337891,NULL
2337845,NULL
2337572,NULL
2337727,NULL
2338744,NULL
2338504,NULL
2338217,NULL
2338104,NULL
2337877,NULL
2337848,NULL
2337836,NULL
2337907,NULL
2337441,NULL
2338211,NULL
2337947,NULL
2338068,NULL
2338069,NULL
2338048,NULL
2338238,NULL
2337728,NULL
2337772,NULL
